iso_code3,country,a_agriculture,a_coastal_zone,a_cross_cutting_area,a_drm,a_education,a_energy,a_environment,a_health,A_Im_CapBul,A_Im_Finan,A_Im_TecTran,a_lulucf,a_social_development,a_tourism,a_transport,a_urban,a_water,m_agriculture,m_buildings,m_economy-wide,m_energy,m_industries,m_lulucf,M_PL7,m_transport,m_waste,migration_and_displacement,AG.LND.FRST.K2,AG.SRF.TOTL.K2,BM.TRF.PWKR.CD.DT,BX.KLT.DINV.CD.WD,CM.MKT.LCAP.GD.ZS,DT.DOD.DECT.CD,DT.ODA.ODAT.PC.ZS,DT.TDS.DECT.GN.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.PC,ER.GDP.FWTL.M3.KD,GC.REV.XGRT.GD.ZS,IC.REG.PROC,IT.CEL.SETS.P2,MS.MIL.XPND.GD.ZS,NE.EXP.GNFS.ZS,NE.GDI.TOTL.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GNP.ATLS.CD,NY.GNP.MKTP.PP.CD,NY.GNP.PCAP.CD,NY.GNP.PCAP.PP.CD,SE.ENR.PRSC.FM.ZS,SE.PRM.CMPT.ZS,SE.SEC.ENRR,SH.DYN.AIDS.ZS,SH.DYN.MORT,SH.IMM.MEAS,SH.STA.BRTC.ZS,SH.STA.MALN.ZS,SI.DST.FRST.20,SI.POV.NAHC,SM.POP.NETM,SP.ADO.TFRT,SP.DYN.CONU.ZS,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.POP.GROW,SP.POP.TOTL,TG.VAL.TOTL.GD.ZS,TT.PRI.MRCH.XD.WD,TX.VAL.TECH.MF.ZS
ARG,Argentina,2,0,10,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,290970,2780400,685001365.9,11758994011,9.438368633,1.77185E+11,-0.437494568,3.07265956,NA,NA,4.664010748,NA,22.1490803,14,143.566834,0.850128583,10.70565205,17.07070488,11.78057404,5.156685902,23.15305614,26.5799916,5.94749E+11,2.731159828,5.42376E+11,8.49528E+11,12570,19700,1.028380036,102.9737396,106.9464722,0.4,11.5,89,99.6,NA,NA,NA,NA,63.096,NA,76.068,2.301,1.078001344,43131966,19.67030526,146.3443414,9.282262488
BLZ,Belize,14,4,2,6,0,0,2,10,1,1,1,6,0,2,2,4,6,0,0,0,16,0,6,1,2,2,2,13328.3,22970,41161360.53,59119223.9,NA,1279832151,78.32478731,6.011897707,NA,NA,1.605245295,NA,28.24140206,9,58.72170181,1.118730218,58.81546583,20.60526163,66.26134412,12.85601868,14.16092644,0.796180287,1723800000,2.849642368,1588504923,2470411871,4400,6840,0.982169986,104.2317963,80.65795135,NA,15.3,96,89,4.6,NA,NA,NA,70.1638,NA,74.034,2.439,2.118799855,360933,88.69938508,93.05457606,NA
BOL,Bolivia,10,0,0,0,0,6,2,0,2,2,2,10,0,0,0,0,14,6,0,0,8,0,18,2,0,0,2,520272.2,1098580,210175743.5,554643532.3,NA,9895204080,72.79941614,3.117666034,NA,NA,1.84670254,NA,NA,14,93.49660939,1.743839017,30.86829603,20.28127686,37.06454915,10.2394941,25.20241626,-4.620602295,33000198248,4.857187232,32208419873,74894854641,2960,6890,0.982349992,88.83914185,91.36424255,0.2,31,95,72.8,NA,3.9,NA,NA,68.0956,NA,70.277,2.886,1.512924033,10869730,56.036027,109.1844441,6.402594397
BRA,Brazil,0,0,6,0,0,0,2,0,3,3,3,0,0,0,0,0,2,2,0,0,10,0,6,9,0,0,2,5038848,8515770,1339086890,64738149686,27.2184107,5.43397E+11,4.906251887,5.080885057,NA,NA,2.466788048,NA,29.25264828,11,126.0879559,1.365517154,12.90019142,17.41164254,14.0534512,4.319132751,19.36004398,7.566175012,1.80221E+12,-3.545763393,2.08423E+12,2.95803E+12,10190,14470,NA,NA,NA,0.5,15.7,96,99.1,NA,3.6,NA,NA,61.0878,NA,74.994,1.753,0.838848283,204471769,20.54278367,106.4142912,13.62442879
CHL,Chile,2,0,0,0,0,0,2,0,3,3,3,2,0,0,0,0,0,2,2,2,6,2,10,3,2,2,2,175960.8,756096,386476769,20879139389,78.03899386,NA,3.023481248,NA,NA,2005.551062,4.632585658,NA,21.01906466,8,129.1440655,1.898487266,29.3763486,23.78573234,29.5959267,3.63888345,29.77604704,4.953538064,2.43919E+11,2.303767036,2.53958E+11,3.95591E+11,14130,22010,0.988600016,96.97695923,101.7809296,0.4,7.9,96,99.7,NA,5.7,11.7,NA,46.152,NA,79.646,1.75,1.177757471,17969353,51.00994858,187.0832936,7.061323219
COL,Colombia,2,0,2,0,2,2,2,2,7,3,7,0,0,4,2,2,2,0,0,0,0,0,0,2,0,0,2,601346.6,1141749,333683053.2,11723937066,29.28817568,1.13363E+11,28.53327046,4.920571528,NA,NA,1.980399139,NA,24.10241628,9,120.636922,3.109960084,15.65021151,23.77369229,22.71055261,5.980424808,28.58944789,2.449328421,2.93482E+11,2.955901375,3.48118E+11,6.21483E+11,7330,13080,1.021569967,100.0330505,94.7192688,0.5,15.6,94,95.9,NA,3.8,NA,NA,69.3178,81,76.531,1.863,1.170445199,47520667,30.58077735,110.5106749,9.85342256
CRI,Costa Rica,2,2,2,2,0,0,2,2,3,3,3,0,2,0,0,0,2,6,0,0,10,0,2,2,6,2,2,29530.3,51100,407784045.2,2955521681,NA,23588779506,22.95884963,5.284882688,NA,NA,1.549914766,NA,24.17062106,9,155.4435575,0,30.82494048,18.43282008,31.69335592,4.956674948,19.4218068,3.776914738,54775994479,3.631731442,50407805035,76862312605,10400,15860,1.016720057,99.58660126,122.7865829,0.3,9,93,90,NA,4.3,21.7,NA,55.9828,77.8,79.565,1.806,1.086952795,4847804,46.90923505,99.90114876,16.98570235
CUB,Cuba,0,2,2,2,0,0,0,2,3,5,3,0,0,0,0,0,0,2,0,0,18,0,0,11,0,0,2,31840,109880,NA,NA,NA,NA,49.26894586,NA,NA,NA,2.58233029,NA,NA,NA,29.45174834,3.083791445,17.14734945,9.389094832,14.46639046,3.835515821,22.35318421,3.439604236,8.71E+10,4.438141959,81915785583,NA,7230,NA,0.985199988,97.07624054,97.89115143,0.4,5.6,99,99.9,NA,NA,NA,NA,52.4564,NA,78.561,1.674,0.157999772,11324781,17.27474091,165.6489592,NA
DOM,Dominican Republic,0,2,6,2,2,0,2,0,3,3,3,0,0,4,0,0,2,0,0,0,0,0,0,5,0,0,2,21036.5,48670,5.85E+08,2227300000,NA,26727433235,27.22901233,7.672401768,NA,NA,2.347495156,NA,17.57838899,7,85.56234973,0.665687802,23.7615823,23.44214517,28.40949542,5.484695932,28.49636818,2.471885977,71164825258,6.927018774,67656035529,1.45306E+11,6580,14130,0.98536998,99.52607727,79.97901917,1.1,31.3,90,99.6,NA,5,NA,NA,95.5912,NA,73.241,2.405,1.13957128,10281680,37.02531399,109.3756591,4.260574818
ECU,Ecuador,10,0,8,6,0,0,2,14,1,1,1,0,0,0,2,0,8,6,0,0,18,6,10,1,10,6,2,128191.8,256370,291533662.2,1322701337,NA,28401589260,19.62494517,5.227061448,NA,NA,2.669044326,NA,NA,12,79.84070461,2.616074159,21.25822138,26.87009832,23.98565577,9.454851422,31.87212767,-2.491020758,99290381000,0.098872608,96835408268,1.76188E+11,5970,10870,1.022459984,106.4048386,104.0310593,0.4,15.1,84,94.2,NA,4.6,23.3,NA,80.6542,NA,76.143,2.499,1.617888472,16212020,40.13379705,118.9225335,7.688544157
GNQ,Equatorial Guinea,2,0,6,6,0,4,2,0,2,2,2,0,0,0,0,0,0,0,0,2,16,0,10,2,2,2,2,24902.2,28050,NA,233325072.8,NA,NA,6.409554062,NA,NA,NA,5.158919293,NA,26.36465746,18,45.64013391,1.041432076,56.65847382,24.7014529,42.21958535,1.888390876,59.10058727,-20.19275037,13185496836,-9.110041149,12677724197,21190569158,10850,18130,NA,40.77592087,NA,6.7,94,50,NA,NA,NA,NA,NA,160.0836,NA,57.359,4.774,4.042030141,1168568,76.03050628,142.0181458,NA
GTM,Guatemala,2,2,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,2,0,0,2,2,2,2,2,2,2,35858,108890,22906100,1203355080,NA,20378217942,26.41992282,3.479133924,NA,NA,1.017131099,NA,11.07465862,9,111.4995795,0.395900175,19.82990769,14.8281551,30.06354542,9.967003242,22.73751073,2.231622143,62186186576,4.092170586,57670223621,1.24517E+11,3700,8000,0.958909988,82.71166992,54.1973381,0.3,28.3,77,65.5,12.4,NA,NA,NA,73.9864,60.6,73.25,3.029,1.691465093,15567419,45.53583611,171.8265134,5.476202515
GUY,Guyana,6,2,6,6,0,2,2,0,2,2,2,4,0,0,0,0,2,0,0,0,14,0,14,2,0,2,2,184613.6,214970,131992083.3,137700000,NA,1636917068,41.87993124,1.682844244,NA,NA,2.628050433,NA,NA,7,70.70307206,1.452213332,NA,NA,NA,25.44308326,24.71867182,3.004199371,4279840362,0.687398056,4197321758,8643543935,5470,11260,NA,NA,NA,1.4,33.1,99,95.8,NA,NA,NA,NA,77.854,NA,69.262,2.534,0.52939348,767432,61.75463981,117.2699143,0.177562735
HND,Honduras,6,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,64638.3,112490,41100000,1316679827,NA,7626993494,59.32239204,6.578140368,NA,NA,1.099345588,NA,23.36315517,11,88.31847018,1.682138547,45.16675746,25.11800475,62.0976479,12.21597845,25.64997094,6.932770369,20979767785,3.840079971,18747622361,40945953790,2060,4490,1.061830044,NA,50.7145195,0.3,19.3,96,72,NA,3.5,52.2,NA,75.7848,NA,74.495,2.581,1.741494121,9112916,92.4748081,127.3988486,1.308471322
ITA,Italy,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,92970.8,301340,9067700606,13303439230,NA,NA,NA,NA,NA,2481.754645,NA,NA,39.77273757,7,144.756385,1.210619499,29.71598237,17.10726702,26.70219379,2.065236762,20.85638428,0.931863575,1.8359E+12,0.778304351,2.00271E+12,2.22543E+12,32980,36640,0.996529996,99.80954742,102.2562714,0.3,3.5,85,99.9,NA,5.9,20.6,NA,5.5016,NA,82.54390244,1.35,-0.096376133,60730582,47.27432652,102.698258,8.265535563
MEX,Mexico,6,2,10,0,0,0,6,2,3,3,3,2,2,4,2,2,6,0,0,0,0,0,0,2,0,0,2,663309.1,1964380,810619117,35737808610,34.32582974,4.26914E+11,2.634782514,4.577577967,NA,1537.261324,3.963191128,NA,19.01749403,7,88.37175565,0.467571837,34.52488584,23.3130633,36.56420427,3.191923657,29.98530327,2.835086218,1.17187E+12,3.293151528,1.23846E+12,2.17259E+12,10160,17830,1.029829979,104.9098206,100.8327408,NA,16.2,97,97.7,3.9,NA,NA,NA,62.607,66.9,74.904,2.215,1.241177725,121858258,67.05808698,93.55396074,19.59355182
NIC,Nicaragua,3,0,2,2,0,0,1,1,NA,NA,NA,3,1,0,1,0,4,5,0,0,1,0,11,NA,1,5,1,39075.3,130370,1600000,9.67E+08,NA,10513666055,73.58225192,6.434960639,NA,NA,0.85675918,NA,16.72806415,7,116.7261909,0.784493121,40.08346107,33.4767491,58.11042056,16.1101157,25.73459838,7.588654318,12756706583,4.792056766,11767938508,31682119559,1890,5090,NA,NA,NA,0.2,19.4,99,95,NA,NA,NA,NA,88.5716,NA,73.649,2.48,1.302091432,6223240,93.27642619,206.5980803,0.583114218
PAN,Panama,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,2,4,0,0,2,42709.1,75320,828900000,5119300000,24.3555111,NA,2.582848325,NA,NA,NA,2.804430253,NA,13.21129116,5,144.6881141,0,47.68513469,42.75572777,52.25163935,2.786009684,27.55931132,2.478655902,54091700000,5.732763632,48416757232,94068749852,12200,23700,1.008329988,NA,75.83184052,NA,16.9,93,95,NA,3.4,23,NA,83.8412,50.8,77.776,2.54,1.707123796,3968487,62.58261434,162.1443795,6.074324355
PER,Peru,6,0,2,6,0,0,0,2,3,3,12,6,6,0,0,0,2,0,0,0,0,0,0,2,0,0,2,731945.3,1285220,NA,8313966795,29.79669153,67186181292,10.98857634,3.009915185,NA,NA,1.727431902,NA,19.67956581,8,112.3563679,1.728369228,21.28732529,24.30511436,23.8754434,7.04564406,30.33787987,2.690520901,1.89805E+11,3.252244772,1.93153E+11,3.40543E+11,6340,11180,0.998700023,100.4050598,97.59812927,0.3,15.7,92,91.6,3.4,4.7,21.8,NA,59.0564,74.6,75.792,2.323,1.256186053,30470734,38.11221271,163.5683002,5.414344428
PRY,Paraguay,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,2,6,0,10,2,2,0,2,174989.4,406752,NA,480469114.4,NA,16124530792,8.997202212,5.651469883,NA,NA,0.942414767,NA,17.67956571,7,110.8127891,1.068847829,33.00061877,22.12327201,31.51334033,9.450446314,34.62756044,1.604800376,36164068797,3.080374008,37620680055,73852324240,5620,11040,NA,NA,NA,0.5,22.2,78,96.3,NA,4.3,26.6,NA,71.4732,NA,73.662,2.508,1.342858435,6688746,51.56499426,127.2500402,6.03842113
VEN,Venezuela,2,2,2,2,0,2,2,2,1,1,1,0,0,0,0,0,2,0,2,0,22,6,2,1,6,10,2,466830,912050,1.05E+08,2.96E+09,NA,1.59007E+11,1.216348918,NA,NA,NA,5.714223427,NA,NA,20,96.71458807,0.941375969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.018300056,96.11708832,91.02732086,0.7,19.1,92,99.3,NA,NA,33.1,NA,86.3302,NA,72.584,2.34,0.1220584,30081829,NA,218.9207337,NA